code,name,outcome,date,location,country,agency,status,price(MUSD),thrust(kN),payload_leo(kg),payload_gto(kg),stages,strap_ons,rocket_height(m),fairing_diameter(m),fairing_height(m)
7375,We Won’t Stop,Success,"Mon Dec 04, 2023 23:33 UTC","Site 95A, Jiuquan Satellite Launch Center, China",China,Galactic Energy,Active,4.9,588.0,400.0,0.0,4,0,19.0,1.4,2.5
7446,S-STEP,Success,"Mon Dec 04, 2023 05:00 UTC","ADD Offshore launch platform, Jeju Island, South Korea",South Korea,ADD,Active,0.0,0.0,100.0,0.0,3,0,0.0,0.0,0.0
7374,MisrSat-2,Success,"Mon Dec 04, 2023 04:10 UTC","Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",China,CASC,Active,30.8,2962.0,2850.0,1000.0,2,0,42.0,3.35,8.37
7249,Starlink Group 6-31,Success,"Sun Dec 03, 2023 04:00 UTC","SLC-40, Cape Canaveral SFS, Florida, USA",USA,SpaceX,Active,67.0,7607.0,22800.0,8300.0,2,0,70.0,5.2,13.0
7357,425 Project Flight 1 and ride-shares,Success,"Fri Dec 01, 2023 18:19 UTC","SLC-4E, Vandenberg SFB, California, USA",USA,SpaceX,Active,67.0,7607.0,22800.0,8300.0,2,0,70.0,5.2,13.0
5310,Progress MS-25,Success,"Fri Dec 01, 2023 09:25 UTC","Site 31/6, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,Roscosmos,Active,17.42,4550.0,7500.0,0.0,3,4,51.38,4.11,15.59
7248,Starlink Group 6-30,Success,"Tue Nov 28, 2023 04:20 UTC","SLC-40, Cape Canaveral SFS, Florida, USA",USA,SpaceX,Active,67.0,7607.0,22800.0,8300.0,2,0,70.0,5.2,13.0
7362,Cosmos 2572,Success,"Sat Nov 25, 2023 20:58 UTC","Site 43/4, Plesetsk Cosmodrome, Russia",Russia,VKS RF,Active,20.0,4550.0,8020.0,0.0,3,4,44.08,4.11,8.36
7364,3 x SatNet test satellites,Success,"Thu Nov 23, 2023 10:00 UTC","LC-3, Xichang Satellite Launch Center, China",China,CASC,Active,30.0,2962.0,3500.0,1200.0,3,0,40.77,3.35,7.82
7247,Starlink Group 6-29,Success,"Wed Nov 22, 2023 07:47 UTC","SLC-40, Cape Canaveral SFS, Florida, USA",USA,SpaceX,Active,67.0,7607.0,22800.0,8300.0,2,0,70.0,5.2,13.0
7367,Manligyeong 1 #3,Success,"Tue Nov 21, 2023 13:42 UTC","Pad 2, Sohae Satellite Launching Station, North Korea",North Korea,NADA,Active,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
7255,Starlink Group 7-7,Success,"Mon Nov 20, 2023 10:30 UTC","SLC-4E, Vandenberg SFB, California, USA",USA,SpaceX,Active,67.0,7607.0,22800.0,8300.0,2,0,70.0,5.2,13.0
7167,Starship Flight Test 2,Partial Failure,"Sat Nov 18, 2023 13:02 UTC","Orbital Launch Pad A, Starbase, Texas, USA",USA,SpaceX,Active,0.0,74432.0,0.0,0.0,2,0,120.0,9.0,0.0
7246,Starlink Group 6-28,Success,"Sat Nov 18, 2023 05:05 UTC","SLC-40, Cape Canaveral SFS, Florida, USA",USA,SpaceX,Active,67.0,7607.0,22800.0,8300.0,2,0,70.0,5.2,13.0
7360,Haiyang 3-01,Success,"Thu Nov 16, 2023 03:55 UTC","Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",China,CASC,Active,30.8,2962.0,2850.0,1000.0,3,0,38.83,3.35,8.37
6943,O3b mPOWER 5 & 6,Success,"Sun Nov 12, 2023 21:08 UTC","SLC-40, Cape Canaveral SFS, Florida, USA",USA,SpaceX,Active,67.0,7607.0,22800.0,8300.0,2,0,70.0,5.2,13.0
6810,Transporter 9,Success,"Sat Nov 11, 2023 18:49 UTC","SLC-4E, Vandenberg SFB, California, USA",USA,SpaceX,Active,67.0,7607.0,22800.0,8300.0,2,0,70.0,5.2,13.0
5346,CRS SpX-29,Success,"Fri Nov 10, 2023 01:28 UTC","LC-39A, Kennedy Space Center, Florida, USA",USA,SpaceX,Active,67.0,7607.0,22800.0,8300.0,2,0,70.0,5.2,13.0
1984,ChinaSat 6E,Success,"Thu Nov 09, 2023 11:23 UTC","LC-2, Xichang Satellite Launch Center, China",China,CASC,Active,29.15,5986.0,11500.0,5550.0,3,4,56.3,4.2,9.56
7245,Starlink Group 6-27,Success,"Wed Nov 08, 2023 05:05 UTC","SLC-40, Cape Canaveral SFS, Florida, USA",USA,SpaceX,Active,67.0,7607.0,22800.0,8300.0,2,0,70.0,5.2,13.0
7244,Starlink Group 6-26,Success,"Sat Nov 04, 2023 00:37 UTC","SLC-40, Cape Canaveral SFS, Florida, USA",USA,SpaceX,Active,67.0,7607.0,22800.0,8300.0,2,0,70.0,5.2,13.0
7332,TJSW-10,Success,"Fri Nov 03, 2023 14:54 UTC","LC-201, Wenchang Space Launch Site, China",China,CASC,Active,0.0,7128.0,12000.0,7000.0,3,4,58.0,4.2,12.4
7327,Galactic-05,Success,"Thu Nov 02, 2023 15:44 UTC","VMS Eve, Spaceport America, New Mexico, USA",USA,Virgin Galactic,Active,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0
7331,Tianhui 5,Success,"Tue Oct 31, 2023 22:50 UTC","LC-9A, Taiyuan Satellite Launch Center, China",China,CASC,Active,0.0,7230.0,4000.0,0.0,2,4,50.0,4.2,5.7
7243,Starlink Group 6-25,Success,"Mon Oct 30, 2023 23:20 UTC","SLC-40, Cape Canaveral SFS, Florida, USA",USA,SpaceX,Active,67.0,7607.0,22800.0,8300.0,2,0,70.0,5.2,13.0
7254,Starlink Group 7-6,Success,"Sun Oct 29, 2023 09:00 UTC","SLC-4E, Vandenberg SFB, California, USA",USA,SpaceX,Active,67.0,7607.0,22800.0,8300.0,2,0,70.0,5.2,13.0
7328,Cosmos 2570,Success,"Fri Oct 27, 2023 06:04 UTC","Site 43/3, Plesetsk Cosmodrome, Russia",Russia,VKS RF,Active,20.0,4550.0,8020.0,0.0,3,4,44.08,4.11,8.36
7091,Shenzhou 17,Success,"Thu Oct 26, 2023 03:14 UTC","Site 901 (SLS-1), Jiuquan Satellite Launch Center, China",China,CASC,Active,0.0,5985.0,8600.0,0.0,2,4,58.34,3.6,19.11
7325,Yaogan 39 Group 04,Success,"Mon Oct 23, 2023 20:03 UTC","LC-3, Xichang Satellite Launch Center, China",China,CASC,Active,29.75,2962.0,3500.0,1200.0,2,0,40.77,3.35,7.82
7242,Starlink Group 6-24,Success,"Sun Oct 22, 2023 02:17 UTC","SLC-40, Cape Canaveral SFS, Florida, USA",USA,SpaceX,Active,67.0,7607.0,22800.0,8300.0,2,0,70.0,5.2,13.0
7253,Starlink Group 7-5,Success,"Sat Oct 21, 2023 08:23 UTC","SLC-4E, Vandenberg SFB, California, USA",USA,SpaceX,Active,67.0,7607.0,22800.0,8300.0,2,0,70.0,5.2,13.0
7182,Starlink Group 6-23,Success,"Wed Oct 18, 2023 00:39 UTC","SLC-40, Cape Canaveral SFS, Florida, USA",USA,SpaceX,Active,67.0,7607.0,22800.0,8300.0,2,0,70.0,5.2,13.0
7314,Yunhai-1 04,Success,"Sun Oct 15, 2023 00:54 UTC","Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",China,CASC,Active,29.75,2962.0,3500.0,1200.0,2,0,40.77,3.35,7.82
7241,Starlink Group 6-22,Success,"Fri Oct 13, 2023 23:01 UTC","SLC-40, Cape Canaveral SFS, Florida, USA",USA,SpaceX,Active,67.0,7607.0,22800.0,8300.0,2,0,70.0,5.2,13.0
3951,Psyche,Success,"Fri Oct 13, 2023 14:19 UTC","LC-39A, Kennedy Space Center, Florida, USA",USA,SpaceX,Active,97.0,22819.0,63800.0,26700.0,2,2,70.0,5.2,13.0
7252,Starlink Group 7-4,Success,"Mon Oct 09, 2023 07:43 UTC","SLC-4E, Vandenberg SFB, California, USA",USA,SpaceX,Active,67.0,7607.0,22800.0,8300.0,2,0,70.0,5.2,13.0
7207,"THEOS-2, TRITON & SSMS n°5",Success,"Mon Oct 09, 2023 01:36 UTC","ELV-1, Guiana Space Centre, French Guiana, France",France,Arianespace,Active,37.0,2200.0,1436.0,0.0,4,0,29.9,2.6,7.88
6773,Project Kuiper Protoflight,Success,"Fri Oct 06, 2023 18:06 UTC","SLC-41, Cape Canaveral SFS, Florida, USA",USA,ULA,Active,120.0,3826.0,8210.0,3780.0,2,0,62.2,5.4,26.5
7284,Galactic-04,Success,"Fri Oct 06, 2023 16:10 UTC","VMS Eve, Spaceport America, New Mexico, USA",USA,Virgin Galactic,Active,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0
7240,Starlink Group 6-21,Success,"Thu Oct 05, 2023 05:36 UTC","SLC-40, Cape Canaveral SFS, Florida, USA",USA,SpaceX,Active,67.0,7607.0,22800.0,8300.0,2,0,70.0,5.2,13.0
7313,Yaogan 39 Group 03,Success,"Thu Oct 05, 2023 00:24 UTC","LC-3, Xichang Satellite Launch Center, China",China,CASC,Active,29.75,2962.0,3500.0,1200.0,2,0,40.77,3.35,7.82
7239,Starlink Group 6-19,Success,"Sat Sep 30, 2023 02:00 UTC","SLC-40, Cape Canaveral SFS, Florida, USA",USA,SpaceX,Active,67.0,7607.0,22800.0,8300.0,2,0,70.0,5.2,13.0
7311,Nour 3,Success,"Wed Sep 27, 2023 06:00 UTC","Launch Platform, Shahrud Missile Test Site, Iran",Iran,IRGC,Active,0.0,280.0,80.0,0.0,3,0,18.6,1.0,2.6
7278,Yaogan 33-04,Success,"Tue Sep 26, 2023 20:15 UTC","Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",China,CASC,Active,64.68,2993.0,4200.0,1500.0,3,0,46.97,3.8,11.74
7251,Starlink Group 7-3,Success,"Mon Sep 25, 2023 08:48 UTC","SLC-4E, Vandenberg SFB, California, USA",USA,SpaceX,Active,67.0,7607.0,22800.0,8300.0,2,0,70.0,5.2,13.0
7185,Starlink Group 6-18,Success,"Sun Sep 24, 2023 03:38 UTC","SLC-40, Cape Canaveral SFS, Florida, USA",USA,SpaceX,Active,67.0,7607.0,22800.0,8300.0,2,0,70.0,5.2,13.0
7309,Autumn Sonata,Failure,"Thu Sep 21, 2023 04:59 UTC","Site 95A, Jiuquan Satellite Launch Center, China",China,Galactic Energy,Active,4.9,588.0,400.0,0.0,4,0,19.0,1.4,2.5
